"Reference","Value","Footprint","Qty"
"C1,C3,C5,C7,C9,C11,C19,C20","1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","8"
"C2,C4,C6,C8,C10,C12","100p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","6"
"C13,C14,C15,C16,C17,C18,C25,C26,C27,C28,C29,C30,C31,C32","0.1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","14"
"C21,C22,C23,C24","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","4"
"J1,J2,J3,J11,J12,J13,J14,J15,J16,J17,J18,J19","Conn_01x01_Pin","Sid_Custom:Banana_Jack_4mm","12"
"J4","CurrentR_In","Sid_Custom:Banana_Jack_4mm","1"
"J5","CurrentR_Out","Sid_Custom:Banana_Jack_4mm","1"
"J6","CurrentY_In","Sid_Custom:Banana_Jack_4mm","1"
"J7","CurrentY_Out","Sid_Custom:Banana_Jack_4mm","1"
"J8","CurrentB_In","Sid_Custom:Banana_Jack_4mm","1"
"J9","CurrentB_Out","Sid_Custom:Banana_Jack_4mm","1"
"J10,J23","Conn_01x03_Pin","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","2"
"J24,J25","Conn_01x02_Pin","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","2"
"R1,R2","3.3k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"R3,R19,R29,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56","120k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","21"
"R4,R20,R30","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3"
"R5,R18,R24,R28,R34,R38,RV1,RV2,RV3","100k","-- mixed values --","9"
"R6,R7,R8","33","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3"
"R9,R10,R11","0","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3"
"R12,R13,R14,R15,R16,R17,R21,R22,R23,R25,R26,R27,R31,R32,R33,R35,R36,R37","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","18"
"TR1,TR2,TR3","ZMPT101K","Transformer_THT:Transformer_Zeming_ZMPT101K","3"
"U1,U2,U3","LA 55-P","LA 55-P_LEM","3"
"U4,U8,U9","LM358","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","3"
"U5,U6,U7","INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","3"
